publish_hour,videos,median_views,mean_like_rate
0,987,231312.0,2.11
1,861,299119.0,2.83
2,803,390842.0,2.58
3,978,488754.0,2.91
4,1392,568066.0,3.08
5,1436,522312.5,3.01
6,1149,408297.0,3.24
7,1245,459217.0,3.1
8,1378,403750.0,3.29
9,1433,400547.0,3.24
10,1590,262882.5,2.95
11,1991,289958.0,3.23
12,2311,303742.0,3.81
13,2174,308209.0,3.55
14,2144,349691.0,3.63
15,2505,423233.0,3.89
16,2144,239459.5,3.92
17,1750,188468.5,4.41
18,1958,147221.0,4.22
19,1581,206238.0,4.2
20,1229,184403.0,3.83
21,1159,210869.0,2.98
22,1427,178797.0,2.25
23,915,181241.0,2.23
